"Statistic","Week","Age Group","Sex","UNIT","VALUE"
"Persons on the Live Register","2020W12","Under 20 years","Both sexes","Number","4689"
"Persons on the Live Register","2020W12","Under 20 years","Male","Number","2604"
"Persons on the Live Register","2020W12","Under 20 years","Female","Number","2085"
"Persons on the Live Register","2020W12","20 - 24 years","Both sexes","Number","18133"
"Persons on the Live Register","2020W12","20 - 24 years","Male","Number","10198"
"Persons on the Live Register","2020W12","20 - 24 years","Female","Number","7935"
"Persons on the Live Register","2020W12","25 - 34 years","Both sexes","Number","48500"
"Persons on the Live Register","2020W12","25 - 34 years","Male","Number","28106"
"Persons on the Live Register","2020W12","25 - 34 years","Female","Number","20394"
"Persons on the Live Register","2020W12","35 - 44 years","Both sexes","Number","46402"
"Persons on the Live Register","2020W12","35 - 44 years","Male","Number","25998"
"Persons on the Live Register","2020W12","35 - 44 years","Female","Number","20404"
"Persons on the Live Register","2020W12","45 - 54 years","Both sexes","Number","40050"
"Persons on the Live Register","2020W12","45 - 54 years","Male","Number","21792"
"Persons on the Live Register","2020W12","45 - 54 years","Female","Number","18258"
"Persons on the Live Register","2020W12","55 - 59 years","Both sexes","Number","18562"
"Persons on the Live Register","2020W12","55 - 59 years","Male","Number","9770"
"Persons on the Live Register","2020W12","55 - 59 years","Female","Number","8792"
"Persons on the Live Register","2020W12","60 years and over","Both sexes","Number","24266"
"Persons on the Live Register","2020W12","60 years and over","Male","Number","12362"
"Persons on the Live Register","2020W12","60 years and over","Female","Number","11904"
"Persons on the Live Register","2020W12","All ages","Both sexes","Number","200602"
"Persons on the Live Register","2020W12","All ages","Male","Number","110830"
"Persons on the Live Register","2020W12","All ages","Female","Number","89772"
"Persons on the Live Register","2020W13","Under 20 years","Both sexes","Number","4722"
"Persons on the Live Register","2020W13","Under 20 years","Male","Number","2632"
"Persons on the Live Register","2020W13","Under 20 years","Female","Number","2090"
"Persons on the Live Register","2020W13","20 - 24 years","Both sexes","Number","18675"
"Persons on the Live Register","2020W13","20 - 24 years","Male","Number","10442"
"Persons on the Live Register","2020W13","20 - 24 years","Female","Number","8233"
"Persons on the Live Register","2020W13","25 - 34 years","Both sexes","Number","49917"
"Persons on the Live Register","2020W13","25 - 34 years","Male","Number","28808"
"Persons on the Live Register","2020W13","25 - 34 years","Female","Number","21109"
"Persons on the Live Register","2020W13","35 - 44 years","Both sexes","Number","47834"
"Persons on the Live Register","2020W13","35 - 44 years","Male","Number","26770"
"Persons on the Live Register","2020W13","35 - 44 years","Female","Number","21064"
"Persons on the Live Register","2020W13","45 - 54 years","Both sexes","Number","40899"
"Persons on the Live Register","2020W13","45 - 54 years","Male","Number","22286"
"Persons on the Live Register","2020W13","45 - 54 years","Female","Number","18613"
"Persons on the Live Register","2020W13","55 - 59 years","Both sexes","Number","18817"
"Persons on the Live Register","2020W13","55 - 59 years","Male","Number","9907"
"Persons on the Live Register","2020W13","55 - 59 years","Female","Number","8910"
"Persons on the Live Register","2020W13","60 years and over","Both sexes","Number","24345"
"Persons on the Live Register","2020W13","60 years and over","Male","Number","12423"
"Persons on the Live Register","2020W13","60 years and over","Female","Number","11922"
"Persons on the Live Register","2020W13","All ages","Both sexes","Number","205209"
"Persons on the Live Register","2020W13","All ages","Male","Number","113268"
"Persons on the Live Register","2020W13","All ages","Female","Number","91941"
"Persons on the Live Register","2020W14","Under 20 years","Both sexes","Number","4744"
"Persons on the Live Register","2020W14","Under 20 years","Male","Number","2632"
"Persons on the Live Register","2020W14","Under 20 years","Female","Number","2112"
"Persons on the Live Register","2020W14","20 - 24 years","Both sexes","Number","18877"
"Persons on the Live Register","2020W14","20 - 24 years","Male","Number","10593"
"Persons on the Live Register","2020W14","20 - 24 years","Female","Number","8284"
"Persons on the Live Register","2020W14","25 - 34 years","Both sexes","Number","50424"
"Persons on the Live Register","2020W14","25 - 34 years","Male","Number","29161"
"Persons on the Live Register","2020W14","25 - 34 years","Female","Number","21263"
"Persons on the Live Register","2020W14","35 - 44 years","Both sexes","Number","48334"
"Persons on the Live Register","2020W14","35 - 44 years","Male","Number","27156"
