"STATISTIC","Statistic","TLIST(D1)","Date","C02196V02652","County","UNIT","VALUE"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","-","State","%","57.3"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE1101","Cavan","%","53.7"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE1102","Donegal","%","49.6"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE1103","Leitrim","%","49.5"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE1104","Louth","%","64.8"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE1105","Monaghan","%","55.7"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE1106","Sligo","%","48.6"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE1201","Laois","%","50.8"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE1202","Longford","%","52.4"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE1203","Offaly","%","52.1"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE1204","Westmeath","%","58.2"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE1303","Mayo","%","46.8"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE1304","Roscommon","%","49.1"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE21","Dublin","%","65.8"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE2201","Kildare","%","54.1"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE2202","Meath","%","57.4"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE2203","Wicklow","%","57.6"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE2301","Clare","%","50.4"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE2401","Carlow","%","47.3"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE2402","Kilkenny","%","54.4"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE05122","Tipperary","%","52"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE2406","Wexford","%","55.9"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE2503","Kerry","%","52.2"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE05316","Cork","%","55.5"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE04225","Galway","%","50.1"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE05118","Limerick","%","55.4"
"SLI01C01","Staying Local Indicator","2020M01D01","2020 January 01","IE05225","Waterford","%","60.6"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","-","State","%","56.5"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE1101","Cavan","%","51.7"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE1102","Donegal","%","48.9"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE1103","Leitrim","%","47.9"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE1104","Louth","%","62.4"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE1105","Monaghan","%","53.5"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE1106","Sligo","%","48.5"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE1201","Laois","%","49.6"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE1202","Longford","%","51.1"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE1203","Offaly","%","49.6"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE1204","Westmeath","%","56.2"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE1303","Mayo","%","46.2"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE1304","Roscommon","%","47.4"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE21","Dublin","%","66.5"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE2201","Kildare","%","51.1"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE2202","Meath","%","54"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE2203","Wicklow","%","54.2"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE2301","Clare","%","49.9"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE2401","Carlow","%","46"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE2402","Kilkenny","%","53.4"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE05122","Tipperary","%","50"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE2406","Wexford","%","54"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE2503","Kerry","%","51.8"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE05316","Cork","%","55"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE04225","Galway","%","49"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE05118","Limerick","%","55.3"
"SLI01C01","Staying Local Indicator","2020M01D02","2020 January 02","IE05225","Waterford","%","60"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","-","State","%","55.6"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE1101","Cavan","%","50"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE1102","Donegal","%","47.7"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE1103","Leitrim","%","46.6"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE1104","Louth","%","60.9"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE1105","Monaghan","%","51.7"
"SLI01C01","Staying Local Indicator","2020M01D03","2020 January 03","IE1106","Sligo","%","47.6"
