Statistic,Date2,County,UNIT,VALUE,Date
Staying Local Indicator,2020 January 01,State,%,57.3,01/01/2020
Staying Local Indicator,2020 January 01,Cavan,%,53.7,01/01/2020
Staying Local Indicator,2020 January 01,Donegal,%,49.6,01/01/2020
Staying Local Indicator,2020 January 01,Leitrim,%,49.5,01/01/2020
Staying Local Indicator,2020 January 01,Louth,%,64.8,01/01/2020
Staying Local Indicator,2020 January 01,Monaghan,%,55.7,01/01/2020
Staying Local Indicator,2020 January 01,Sligo,%,48.6,01/01/2020
Staying Local Indicator,2020 January 01,Laois,%,50.8,01/01/2020
Staying Local Indicator,2020 January 01,Longford,%,52.4,01/01/2020
Staying Local Indicator,2020 January 01,Offaly,%,52.1,01/01/2020
Staying Local Indicator,2020 January 01,Westmeath,%,58.2,01/01/2020
Staying Local Indicator,2020 January 01,Mayo,%,46.8,01/01/2020
Staying Local Indicator,2020 January 01,Roscommon,%,49.1,01/01/2020
Staying Local Indicator,2020 January 01,Dublin,%,65.8,01/01/2020
Staying Local Indicator,2020 January 01,Kildare,%,54.1,01/01/2020
Staying Local Indicator,2020 January 01,Meath,%,57.4,01/01/2020
Staying Local Indicator,2020 January 01,Wicklow,%,57.6,01/01/2020
Staying Local Indicator,2020 January 01,Clare,%,50.4,01/01/2020
Staying Local Indicator,2020 January 01,Carlow,%,47.3,01/01/2020
Staying Local Indicator,2020 January 01,Kilkenny,%,54.4,01/01/2020
Staying Local Indicator,2020 January 01,Tipperary,%,52,01/01/2020
Staying Local Indicator,2020 January 01,Wexford,%,55.9,01/01/2020
Staying Local Indicator,2020 January 01,Kerry,%,52.2,01/01/2020
Staying Local Indicator,2020 January 01,Cork,%,55.5,01/01/2020
Staying Local Indicator,2020 January 01,Galway,%,50.1,01/01/2020
Staying Local Indicator,2020 January 01,Limerick,%,55.4,01/01/2020
Staying Local Indicator,2020 January 01,Waterford,%,60.6,01/01/2020
Staying Local Indicator,2020 January 02,State,%,56.5,02/01/2020
Staying Local Indicator,2020 January 02,Cavan,%,51.7,02/01/2020
Staying Local Indicator,2020 January 02,Donegal,%,48.9,02/01/2020
Staying Local Indicator,2020 January 02,Leitrim,%,47.9,02/01/2020
Staying Local Indicator,2020 January 02,Louth,%,62.4,02/01/2020
Staying Local Indicator,2020 January 02,Monaghan,%,53.5,02/01/2020
Staying Local Indicator,2020 January 02,Sligo,%,48.5,02/01/2020
Staying Local Indicator,2020 January 02,Laois,%,49.6,02/01/2020
Staying Local Indicator,2020 January 02,Longford,%,51.1,02/01/2020
Staying Local Indicator,2020 January 02,Offaly,%,49.6,02/01/2020
Staying Local Indicator,2020 January 02,Westmeath,%,56.2,02/01/2020
Staying Local Indicator,2020 January 02,Mayo,%,46.2,02/01/2020
Staying Local Indicator,2020 January 02,Roscommon,%,47.4,02/01/2020
Staying Local Indicator,2020 January 02,Dublin,%,66.5,02/01/2020
Staying Local Indicator,2020 January 02,Kildare,%,51.1,02/01/2020
Staying Local Indicator,2020 January 02,Meath,%,54,02/01/2020
Staying Local Indicator,2020 January 02,Wicklow,%,54.2,02/01/2020
Staying Local Indicator,2020 January 02,Clare,%,49.9,02/01/2020
Staying Local Indicator,2020 January 02,Carlow,%,46,02/01/2020
Staying Local Indicator,2020 January 02,Kilkenny,%,53.4,02/01/2020
Staying Local Indicator,2020 January 02,Tipperary,%,50,02/01/2020
Staying Local Indicator,2020 January 02,Wexford,%,54,02/01/2020
Staying Local Indicator,2020 January 02,Kerry,%,51.8,02/01/2020
Staying Local Indicator,2020 January 02,Cork,%,55,02/01/2020
