"Statistic","Date","County","UNIT","VALUE"
"Staying Local Indicator","2020 January 01","State","%","57.3"
"Staying Local Indicator","2020 January 01","Cavan","%","53.7"
"Staying Local Indicator","2020 January 01","Donegal","%","49.6"
"Staying Local Indicator","2020 January 01","Leitrim","%","49.5"
"Staying Local Indicator","2020 January 01","Louth","%","64.8"
"Staying Local Indicator","2020 January 01","Monaghan","%","55.7"
"Staying Local Indicator","2020 January 01","Sligo","%","48.6"
"Staying Local Indicator","2020 January 01","Laois","%","50.8"
"Staying Local Indicator","2020 January 01","Longford","%","52.4"
"Staying Local Indicator","2020 January 01","Offaly","%","52.1"
"Staying Local Indicator","2020 January 01","Westmeath","%","58.2"
"Staying Local Indicator","2020 January 01","Mayo","%","46.8"
"Staying Local Indicator","2020 January 01","Roscommon","%","49.1"
"Staying Local Indicator","2020 January 01","Dublin","%","65.8"
"Staying Local Indicator","2020 January 01","Kildare","%","54.1"
"Staying Local Indicator","2020 January 01","Meath","%","57.4"
"Staying Local Indicator","2020 January 01","Wicklow","%","57.6"
"Staying Local Indicator","2020 January 01","Clare","%","50.4"
"Staying Local Indicator","2020 January 01","Carlow","%","47.3"
"Staying Local Indicator","2020 January 01","Kilkenny","%","54.4"
"Staying Local Indicator","2020 January 01","Tipperary","%","52"
"Staying Local Indicator","2020 January 01","Wexford","%","55.9"
"Staying Local Indicator","2020 January 01","Kerry","%","52.2"
"Staying Local Indicator","2020 January 01","Cork","%","55.5"
"Staying Local Indicator","2020 January 01","Galway","%","50.1"
"Staying Local Indicator","2020 January 01","Limerick","%","55.4"
"Staying Local Indicator","2020 January 01","Waterford","%","60.6"
"Staying Local Indicator","2020 January 02","State","%","56.5"
"Staying Local Indicator","2020 January 02","Cavan","%","51.7"
"Staying Local Indicator","2020 January 02","Donegal","%","48.9"
"Staying Local Indicator","2020 January 02","Leitrim","%","47.9"
"Staying Local Indicator","2020 January 02","Louth","%","62.4"
"Staying Local Indicator","2020 January 02","Monaghan","%","53.5"
"Staying Local Indicator","2020 January 02","Sligo","%","48.5"
"Staying Local Indicator","2020 January 02","Laois","%","49.6"
"Staying Local Indicator","2020 January 02","Longford","%","51.1"
"Staying Local Indicator","2020 January 02","Offaly","%","49.6"
"Staying Local Indicator","2020 January 02","Westmeath","%","56.2"
"Staying Local Indicator","2020 January 02","Mayo","%","46.2"
"Staying Local Indicator","2020 January 02","Roscommon","%","47.4"
"Staying Local Indicator","2020 January 02","Dublin","%","66.5"
"Staying Local Indicator","2020 January 02","Kildare","%","51.1"
"Staying Local Indicator","2020 January 02","Meath","%","54"
"Staying Local Indicator","2020 January 02","Wicklow","%","54.2"
"Staying Local Indicator","2020 January 02","Clare","%","49.9"
"Staying Local Indicator","2020 January 02","Carlow","%","46"
"Staying Local Indicator","2020 January 02","Kilkenny","%","53.4"
"Staying Local Indicator","2020 January 02","Tipperary","%","50"
"Staying Local Indicator","2020 January 02","Wexford","%","54"
"Staying Local Indicator","2020 January 02","Kerry","%","51.8"
"Staying Local Indicator","2020 January 02","Cork","%","55"
"Staying Local Indicator","2020 January 02","Galway","%","49"
"Staying Local Indicator","2020 January 02","Limerick","%","55.3"
"Staying Local Indicator","2020 January 02","Waterford","%","60"
"Staying Local Indicator","2020 January 03","State","%","55.6"
"Staying Local Indicator","2020 January 03","Cavan","%","50"
"Staying Local Indicator","2020 January 03","Donegal","%","47.7"
"Staying Local Indicator","2020 January 03","Leitrim","%","46.6"
"Staying Local Indicator","2020 January 03","Louth","%","60.9"
"Staying Local Indicator","2020 January 03","Monaghan","%","51.7"
"Staying Local Indicator","2020 January 03","Sligo","%","47.6"
"Staying Local Indicator","2020 January 03","Laois","%","48.5"
"Staying Local Indicator","2020 January 03","Longford","%","50"
"Staying Local Indicator","2020 January 03","Offaly","%","48.3"
"Staying Local Indicator","2020 January 03","Westmeath","%","54.7"
"Staying Local Indicator","2020 January 03","Mayo","%","45.3"
"Staying Local Indicator","2020 January 03","Roscommon","%","46.2"
"Staying Local Indicator","2020 January 03","Dublin","%","66.4"
"Staying Local Indicator","2020 January 03","Kildare","%","49.6"
"Staying Local Indicator","2020 January 03","Meath","%","52.2"
"Staying Local Indicator","2020 January 03","Wicklow","%","52.2"
"Staying Local Indicator","2020 January 03","Clare","%","48.9"
"Staying Local Indicator","2020 January 03","Carlow","%","44.6"
"Staying Local Indicator","2020 January 03","Kilkenny","%","52.1"
"Staying Local Indicator","2020 January 03","Tipperary","%","48.4"
"Staying Local Indicator","2020 January 03","Wexford","%","52.4"
"Staying Local Indicator","2020 January 03","Kerry","%","51"
"Staying Local Indicator","2020 January 03","Cork","%","53.9"
"Staying Local Indicator","2020 January 03","Galway","%","48.2"
"Staying Local Indicator","2020 January 03","Limerick","%","54.7"
"Staying Local Indicator","2020 January 03","Waterford","%","58.6"
"Staying Local Indicator","2020 January 04","State","%","55.8"
"Staying Local Indicator","2020 January 04","Cavan","%","49.9"
"Staying Local Indicator","2020 January 04","Donegal","%","47.7"
"Staying Local Indicator","2020 January 04","Leitrim","%","46.7"
"Staying Local Indicator","2020 January 04","Louth","%","61.2"
"Staying Local Indicator","2020 January 04","Monaghan","%","51.3"
"Staying Local Indicator","2020 January 04","Sligo","%","47.5"
"Staying Local Indicator","2020 January 04","Laois","%","48.4"
"Staying Local Indicator","2020 January 04","Longford","%","50"
"Staying Local Indicator","2020 January 04","Offaly","%","48"
"Staying Local Indicator","2020 January 04","Westmeath","%","54.9"
"Staying Local Indicator","2020 January 04","Mayo","%","45.3"
"Staying Local Indicator","2020 January 04","Roscommon","%","46.2"
"Staying Local Indicator","2020 January 04","Dublin","%","67"
"Staying Local Indicator","2020 January 04","Kildare","%","49.9"
"Staying Local Indicator","2020 January 04","Meath","%","52.5"
"Staying Local Indicator","2020 January 04","Wicklow","%","52.1"
"Staying Local Indicator","2020 January 04","Clare","%","49"
"Staying Local Indicator","2020 January 04","Carlow","%","44.3"
"Staying Local Indicator","2020 January 04","Kilkenny","%","51.6"
"Staying Local Indicator","2020 January 04","Tipperary","%","48.2"
"Staying Local Indicator","2020 January 04","Wexford","%","52.3"
"Staying Local Indicator","2020 January 04","Kerry","%","51.4"
"Staying Local Indicator","2020 January 04","Cork","%","54"
"Staying Local Indicator","2020 January 04","Galway","%","48.3"
"Staying Local Indicator","2020 January 04","Limerick","%","54.8"
"Staying Local Indicator","2020 January 04","Waterford","%","58.3"
"Staying Local Indicator","2020 January 05","State","%","56.6"
"Staying Local Indicator","2020 January 05","Cavan","%","50.8"
"Staying Local Indicator","2020 January 05","Donegal","%","48.3"
"Staying Local Indicator","2020 January 05","Leitrim","%","47.8"
"Staying Local Indicator","2020 January 05","Louth","%","62"
"Staying Local Indicator","2020 January 05","Monaghan","%","52.3"
"Staying Local Indicator","2020 January 05","Sligo","%","48.1"
"Staying Local Indicator","2020 January 05","Laois","%","49.4"
"Staying Local Indicator","2020 January 05","Longford","%","50.7"
"Staying Local Indicator","2020 January 05","Offaly","%","48.7"
"Staying Local Indicator","2020 January 05","Westmeath","%","55.7"
"Staying Local Indicator","2020 January 05","Mayo","%","46.2"
"Staying Local Indicator","2020 January 05","Roscommon","%","47"
"Staying Local Indicator","2020 January 05","Dublin","%","67.9"
"Staying Local Indicator","2020 January 05","Kildare","%","51.1"
