date,Date,County,VALUE,new_cases
2020-02-02,0,0,0.0,0.0
2020-09-02,0,0,0.0,0.0
2020-02-15,0,0,0.0,0.0
2020-02-23,0,0,0.0,0.0
2020-02-29,2020-02-29 00:00:00,State,57.0,1.0
2020-01-03,2020-01-03 00:00:00,State,55.7,0.0
2020-02-03,2020-02-03 00:00:00,State,55.7,0.0
2020-03-03,2020-03-03 00:00:00,State,56.3,1.0
2020-04-03,2020-04-03 00:00:00,State,57.0,4.0
2020-05-03,2020-05-03 00:00:00,State,57.8,0.0
2020-06-03,2020-06-03 00:00:00,State,58.4,12.0
2020-07-03,2020-07-03 00:00:00,State,58.4,0.0
2020-08-03,2020-08-03 00:00:00,State,58.7,1.0
2020-09-03,2020-09-03 00:00:00,State,59.2,2.0
2020-10-03,2020-10-03 00:00:00,State,59.6,13.0
2020-11-03,2020-11-03 00:00:00,State,60.1,9.0
2020-12-03,2020-12-03 00:00:00,State,60.7,0.0
2020-03-13,2020-03-13 00:00:00,State,61.5,47.0
2020-03-14,2020-03-14 00:00:00,State,62.2,39.0
2020-03-15,2020-03-15 00:00:00,State,62.9,0.0
2020-03-16,2020-03-16 00:00:00,State,63.8,40.0
2020-03-17,2020-03-17 00:00:00,State,64.6,54.0
2020-03-18,2020-03-18 00:00:00,State,64.7,69.0
2020-03-19,2020-03-19 00:00:00,State,64.5,265.0
2020-03-20,2020-03-20 00:00:00,State,64.7,126.0
2020-03-21,2020-03-21 00:00:00,State,65.3,102.0
2020-03-22,2020-03-22 00:00:00,State,64.9,121.0
2020-03-23,2020-03-23 00:00:00,State,65.0,219.0
2020-03-24,2020-03-24 00:00:00,State,64.5,204.0
2020-03-25,2020-03-25 00:00:00,State,64.8,235.0
2020-03-26,2020-03-26 00:00:00,State,65.0,255.0
2020-03-27,2020-03-27 00:00:00,State,65.1,302.0
2020-03-28,2020-03-28 00:00:00,State,65.5,294.0
2020-03-29,2020-03-29 00:00:00,State,67.3,200.0
2020-03-30,2020-03-30 00:00:00,State,68.1,295.0
2020-03-31,2020-03-31 00:00:00,State,69.2,325.0
2020-01-04,2020-01-04 00:00:00,State,70.4,212.0
