iso_code,date,new_cases
IRL,2020-02-02,0.0
IRL,2020-09-02,0.0
IRL,2020-02-15,0.0
IRL,2020-02-23,0.0
IRL,2020-02-29,1.0
IRL,2020-01-03,0.0
IRL,2020-02-03,0.0
IRL,2020-03-03,1.0
IRL,2020-04-03,4.0
IRL,2020-05-03,0.0
IRL,2020-06-03,12.0
IRL,2020-07-03,0.0
IRL,2020-08-03,1.0
IRL,2020-09-03,2.0
IRL,2020-10-03,13.0
IRL,2020-11-03,9.0
IRL,2020-12-03,0.0
IRL,2020-03-13,47.0
IRL,2020-03-14,39.0
IRL,2020-03-15,0.0
IRL,2020-03-16,40.0
IRL,2020-03-17,54.0
IRL,2020-03-18,69.0
IRL,2020-03-19,265.0
IRL,2020-03-20,126.0
IRL,2020-03-21,102.0
IRL,2020-03-22,121.0
IRL,2020-03-23,219.0
IRL,2020-03-24,204.0
IRL,2020-03-25,235.0
IRL,2020-03-26,255.0
IRL,2020-03-27,302.0
IRL,2020-03-28,294.0
IRL,2020-03-29,200.0
IRL,2020-03-30,295.0
IRL,2020-03-31,325.0
IRL,2020-01-04,212.0
IRL,2020-02-04,402.0
IRL,2020-03-04,424.0
IRL,2020-04-04,331.0
IRL,2020-05-04,390.0
IRL,2020-06-04,370.0
IRL,2020-07-04,345.0
IRL,2020-08-04,365.0
IRL,2020-09-04,500.0
IRL,2020-10-04,1515.0
IRL,2020-11-04,839.0
IRL,2020-12-04,727.0
IRL,2020-04-13,992.0
IRL,2020-04-14,832.0
IRL,2020-04-15,1068.0
IRL,2020-04-16,724.0
IRL,2020-04-17,709.0
IRL,2020-04-18,778.0
IRL,2020-04-19,493.0
IRL,2020-04-20,401.0
IRL,2020-04-21,388.0
IRL,2020-04-22,631.0
IRL,2020-04-23,936.0
IRL,2020-04-24,577.0
IRL,2020-04-25,377.0
IRL,2020-04-26,701.0
IRL,2020-04-27,386.0
IRL,2020-04-28,229.0
IRL,2020-04-29,376.0
IRL,2020-04-30,359.0
IRL,2020-01-05,221.0
IRL,2020-02-05,343.0
IRL,2020-03-05,330.0
IRL,2020-04-05,266.0
IRL,2020-05-05,211.0
IRL,2020-06-05,265.0
IRL,2020-07-05,137.0
IRL,2020-08-05,156.0
IRL,2020-09-05,219.0
IRL,2020-10-05,236.0
IRL,2020-11-05,139.0
IRL,2020-12-05,107.0
IRL,2020-05-13,159.0
IRL,2020-05-14,426.0
IRL,2020-05-15,129.0
IRL,2020-05-16,92.0
IRL,2020-05-17,64.0
IRL,2020-05-18,88.0
IRL,2020-05-19,51.0
IRL,2020-05-20,64.0
IRL,2020-05-21,76.0
IRL,2020-05-22,115.0
IRL,2020-05-23,76.0
IRL,2020-05-24,57.0
IRL,2020-05-25,59.0
IRL,2020-05-26,37.0
IRL,2020-05-27,68.0
IRL,2020-05-28,38.0
IRL,2020-05-29,35.0
IRL,2020-05-30,53.0
IRL,2020-05-31,61.0
IRL,2020-01-06,72.0
IRL,2020-02-06,4.0
IRL,2020-03-06,45.0
IRL,2020-04-06,31.0
IRL,2020-05-06,21.0
IRL,2020-06-06,20.0
IRL,2020-07-06,18.0
IRL,2020-08-06,6.0
IRL,2020-09-06,8.0
IRL,2020-10-06,16.0
IRL,2020-11-06,7.0
IRL,2020-12-06,12.0
IRL,2020-06-13,45.0
IRL,2020-06-14,8.0
IRL,2020-06-15,18.0
IRL,2020-06-16,13.0
IRL,2020-06-17,7.0
IRL,2020-06-18,14.0
IRL,2020-06-19,13.0
IRL,2020-06-20,6.0
IRL,2020-06-21,5.0
IRL,2020-06-22,4.0
IRL,2020-06-23,8.0
IRL,2020-06-24,5.0
IRL,2020-06-25,9.0
IRL,2020-06-26,9.0
IRL,2020-06-27,23.0
IRL,2020-06-28,2.0
IRL,2020-06-29,23.0
IRL,2020-06-30,11.0
IRL,2020-01-07,4.0
IRL,2020-02-07,12.0
IRL,2020-03-07,9.0
IRL,2020-04-07,11.0
IRL,2020-05-07,18.0
IRL,2020-06-07,4.0
IRL,2020-07-07,7.0
IRL,2020-08-07,4.0
IRL,2020-09-07,23.0
IRL,2020-10-07,24.0
IRL,2020-11-07,22.0
IRL,2020-12-07,17.0
IRL,2020-07-13,10.0
IRL,2020-07-14,32.0
IRL,2020-07-15,13.0
IRL,2020-07-16,15.0
IRL,2020-07-17,32.0
IRL,2020-07-18,20.0
IRL,2020-07-19,10.0
IRL,2020-07-20,6.0
IRL,2020-07-21,36.0
IRL,2020-07-22,17.0
IRL,2020-07-23,7.0
IRL,2020-07-24,19.0
IRL,2020-07-25,24.0
IRL,2020-07-26,12.0
IRL,2020-07-27,11.0
IRL,2020-07-28,37.0
IRL,2020-07-29,13.0
IRL,2020-07-30,85.0
IRL,2020-07-31,38.0
IRL,2020-01-08,44.0
IRL,2020-02-08,53.0
IRL,2020-03-08,46.0
IRL,2020-04-08,45.0
IRL,2020-05-08,50.0
IRL,2020-06-08,69.0
IRL,2020-07-08,98.0
IRL,2020-08-08,174.0
IRL,2020-09-08,68.0
IRL,2020-10-08,56.0
IRL,2020-11-08,33.0
IRL,2020-12-08,37.0
IRL,2020-08-13,91.0
IRL,2020-08-14,66.0
IRL,2020-08-15,196.0
IRL,2020-08-16,66.0
