Date,County,VALUE
2020-01-01,State,57.3
2020-01-01,Cavan,53.7
2020-01-01,Donegal,49.6
2020-01-01,Leitrim,49.5
2020-01-01,Louth,64.8
2020-01-01,Monaghan,55.7
2020-01-01,Sligo,48.6
2020-01-01,Laois,50.8
2020-01-01,Longford,52.4
2020-01-01,Offaly,52.1
2020-01-01,Westmeath,58.2
2020-01-01,Mayo,46.8
2020-01-01,Roscommon,49.1
2020-01-01,Dublin,65.8
2020-01-01,Kildare,54.1
2020-01-01,Meath,57.4
2020-01-01,Wicklow,57.6
2020-01-01,Clare,50.4
2020-01-01,Carlow,47.3
2020-01-01,Kilkenny,54.4
2020-01-01,Tipperary,52.0
2020-01-01,Wexford,55.9
2020-01-01,Kerry,52.2
2020-01-01,Cork,55.5
2020-01-01,Galway,50.1
2020-01-01,Limerick,55.4
2020-01-01,Waterford,60.6
2020-02-01,State,56.5
2020-02-01,Cavan,51.7
2020-02-01,Donegal,48.9
2020-02-01,Leitrim,47.9
2020-02-01,Louth,62.4
2020-02-01,Monaghan,53.5
2020-02-01,Sligo,48.5
2020-02-01,Laois,49.6
2020-02-01,Longford,51.1
2020-02-01,Offaly,49.6
2020-02-01,Westmeath,56.2
2020-02-01,Mayo,46.2
2020-02-01,Roscommon,47.4
2020-02-01,Dublin,66.5
2020-02-01,Kildare,51.1
2020-02-01,Meath,54.0
2020-02-01,Wicklow,54.2
2020-02-01,Clare,49.9
2020-02-01,Carlow,46.0
2020-02-01,Kilkenny,53.4
2020-02-01,Tipperary,50.0
2020-02-01,Wexford,54.0
2020-02-01,Kerry,51.8
2020-02-01,Cork,55.0
2020-02-01,Galway,49.0
2020-02-01,Limerick,55.3
2020-02-01,Waterford,60.0
2020-03-01,State,55.6
2020-03-01,Cavan,50.0
2020-03-01,Donegal,47.7
2020-03-01,Leitrim,46.6
2020-03-01,Louth,60.9
2020-03-01,Monaghan,51.7
2020-03-01,Sligo,47.6
2020-03-01,Laois,48.5
2020-03-01,Longford,50.0
2020-03-01,Offaly,48.3
2020-03-01,Westmeath,54.7
2020-03-01,Mayo,45.3
2020-03-01,Roscommon,46.2
2020-03-01,Dublin,66.4
2020-03-01,Kildare,49.6
2020-03-01,Meath,52.2
2020-03-01,Wicklow,52.2
2020-03-01,Clare,48.9
2020-03-01,Carlow,44.6
2020-03-01,Kilkenny,52.1
2020-03-01,Tipperary,48.4
2020-03-01,Wexford,52.4
2020-03-01,Kerry,51.0
2020-03-01,Cork,53.9
2020-03-01,Galway,48.2
2020-03-01,Limerick,54.7
2020-03-01,Waterford,58.6
2020-04-01,State,55.8
2020-04-01,Cavan,49.9
2020-04-01,Donegal,47.7
2020-04-01,Leitrim,46.7
2020-04-01,Louth,61.2
2020-04-01,Monaghan,51.3
2020-04-01,Sligo,47.5
2020-04-01,Laois,48.4
2020-04-01,Longford,50.0
2020-04-01,Offaly,48.0
2020-04-01,Westmeath,54.9
2020-04-01,Mayo,45.3
2020-04-01,Roscommon,46.2
2020-04-01,Dublin,67.0
2020-04-01,Kildare,49.9
2020-04-01,Meath,52.5
2020-04-01,Wicklow,52.1
2020-04-01,Clare,49.0
2020-04-01,Carlow,44.3
2020-04-01,Kilkenny,51.6
2020-04-01,Tipperary,48.2
2020-04-01,Wexford,52.3
2020-04-01,Kerry,51.4
