Date,County,VALUE
2020-02-24,State,57.5
2020-02-25,State,57.8
2020-02-26,State,57.5
2020-02-27,State,56.8
2020-02-28,State,56.8
2020-02-29,State,57.0
2020-01-03,State,55.7
2020-02-03,State,55.7
2020-03-03,State,56.3
2020-04-03,State,57.0
2020-05-03,State,57.8
2020-06-03,State,58.4
2020-07-03,State,58.4
2020-08-03,State,58.7
2020-09-03,State,59.2
2020-10-03,State,59.6
2020-11-03,State,60.1
2020-12-03,State,60.7
2020-03-13,State,61.5
2020-03-14,State,62.2
2020-03-15,State,62.9
2020-03-16,State,63.8
2020-03-17,State,64.6
2020-03-18,State,64.7
2020-03-19,State,64.5
2020-03-20,State,64.7
2020-03-21,State,65.3
2020-03-22,State,64.9
2020-03-23,State,65.0
2020-03-24,State,64.5
2020-03-25,State,64.8
2020-03-26,State,65.0
2020-03-27,State,65.1
2020-03-28,State,65.5
2020-03-29,State,67.3
2020-03-30,State,68.1
2020-03-31,State,69.2
2020-01-04,State,70.4
2020-02-04,State,71.9
2020-03-04,State,73.3
2020-04-04,State,74.0
2020-05-04,State,74.6
2020-06-04,State,75.1
2020-07-04,State,75.5
2020-08-04,State,75.4
2020-09-04,State,75.5
2020-10-04,State,75.8
2020-11-04,State,75.9
2020-12-04,State,76.1
2020-04-13,State,76.7
2020-04-14,State,76.7
2020-04-15,State,76.7
2020-04-16,State,76.6
2020-04-17,State,76.4
2020-04-18,State,76.4
2020-04-19,State,76.0
2020-04-20,State,75.3
2020-04-21,State,75.2
2020-04-22,State,75.1
2020-04-23,State,74.9
2020-04-24,State,74.6
2020-04-25,State,74.2
2020-04-26,State,73.9
2020-04-27,State,73.8
2020-04-28,State,73.5
2020-04-29,State,73.3
2020-04-30,State,73.1
2020-01-05,State,73.4
2020-02-05,State,73.4
2020-03-05,State,73.8
2020-04-05,State,74.0
2020-05-05,State,73.8
2020-06-05,State,73.3
2020-07-05,State,72.4
2020-08-05,State,72.2
2020-09-05,State,72.0
2020-10-05,State,72.0
2020-11-05,State,71.6
2020-12-05,State,71.5
2020-05-13,State,71.3
2020-05-14,State,71.0
2020-05-15,State,70.8
2020-05-16,State,70.7
2020-05-17,State,70.5
2020-05-18,State,70.1
2020-05-19,State,69.6
2020-05-20,State,69.1
2020-05-21,State,68.9
2020-05-22,State,68.7
2020-05-23,State,68.5
2020-05-24,State,67.8
2020-05-25,State,67.6
2020-05-26,State,67.4
2020-05-27,State,67.1
2020-05-28,State,0.0
2020-05-29,State,66.5
2020-05-30,State,66.1
2020-05-31,State,65.7
2020-01-06,State,65.2
2020-02-06,State,64.5
2020-03-06,State,64.5
2020-04-06,State,64.7
2020-05-06,State,64.9
2020-06-06,State,65.3
2020-07-06,State,65.5
2020-08-06,State,65.1
2020-09-06,State,65.2
2020-10-06,State,64.8
2020-11-06,State,64.5
2020-12-06,State,64.1
2020-06-13,State,63.3
2020-06-14,State,62.6
2020-06-15,State,62.4
2020-06-16,State,62.2
2020-06-17,State,62.0
2020-06-18,State,61.6
2020-06-19,State,61.4
2020-06-20,State,61.3
2020-06-21,State,61.1
2020-06-22,State,61.3
2020-06-23,State,61.4
2020-06-24,State,61.1
2020-06-25,State,60.6
2020-06-26,State,60.2
2020-06-27,State,60.1
2020-06-28,State,60.1
2020-06-29,State,59.6
2020-06-30,State,59.1
2020-01-07,State,58.9
2020-02-07,State,58.9
2020-03-07,State,58.9
2020-04-07,State,58.7
2020-05-07,State,58.4
2020-06-07,State,58.2
2020-07-07,State,58.4
2020-08-07,State,58.6
2020-09-07,State,58.6
