date,Date,County,VALUE,new_cases
2020-02-02,2020 February 02,State,55.9,0.0
2020-02-09,2020 February 09,State,56.4,0.0
2020-02-15,2020 February 15,State,56.5,0.0
2020-02-23,2020 February 23,State,57.6,0.0
2020-02-29,2020 February 29,State,57.0,1.0
2020-03-01,2020 March 01,State,55.7,0.0
2020-03-02,2020 March 02,State,55.7,0.0
2020-03-03,2020 March 03,State,56.3,1.0
2020-03-04,2020 March 04,State,57.0,4.0
2020-03-05,2020 March 05,State,57.8,0.0
2020-03-06,2020 March 06,State,58.4,12.0
2020-03-07,2020 March 07,State,58.4,0.0
2020-03-08,2020 March 08,State,58.7,1.0
2020-03-09,2020 March 09,State,59.2,2.0
2020-03-10,2020 March 10,State,59.6,13.0
2020-03-11,2020 March 11,State,60.1,9.0
2020-03-12,2020 March 12,State,60.7,0.0
2020-03-13,2020 March 13,State,61.5,47.0
2020-03-14,2020 March 14,State,62.2,39.0
2020-03-15,2020 March 15,State,62.9,0.0
2020-03-16,2020 March 16,State,63.8,40.0
2020-03-17,2020 March 17,State,64.6,54.0
2020-03-18,2020 March 18,State,64.7,69.0
2020-03-19,2020 March 19,State,64.5,265.0
2020-03-20,2020 March 20,State,64.7,126.0
2020-03-21,2020 March 21,State,65.3,102.0
2020-03-22,2020 March 22,State,64.9,121.0
2020-03-23,2020 March 23,State,65.0,219.0
2020-03-24,2020 March 24,State,64.5,204.0
2020-03-25,2020 March 25,State,64.8,235.0
2020-03-26,2020 March 26,State,65.0,255.0
2020-03-27,2020 March 27,State,65.1,302.0
2020-03-28,2020 March 28,State,65.5,294.0
2020-03-29,2020 March 29,State,67.3,200.0
2020-03-30,2020 March 30,State,68.1,295.0
2020-03-31,2020 March 31,State,69.2,325.0
2020-04-01,2020 April 01,State,70.4,212.0
2020-04-02,2020 April 02,State,71.9,402.0
2020-04-03,2020 April 03,State,73.3,424.0
2020-04-04,2020 April 04,State,74.0,331.0
2020-04-05,2020 April 05,State,74.6,390.0
2020-04-06,2020 April 06,State,75.1,370.0
2020-04-07,2020 April 07,State,75.5,345.0
