,Age Group,Sex,VALUE
0,20 - 24 years,Both sexes,68477.0
1,20 - 24 years,Female,33971.0
2,20 - 24 years,Male,34506.0
3,25 - 34 years,Both sexes,89303.0
4,25 - 34 years,Female,41501.0
5,25 - 34 years,Male,47802.0
6,35 - 44 years,Both sexes,89533.0
7,35 - 44 years,Female,41644.0
8,35 - 44 years,Male,47888.0
9,45 - 54 years,Both sexes,71106.0
10,45 - 54 years,Female,31803.0
11,45 - 54 years,Male,39303.0
12,55 - 59 years,Both sexes,28209.0
13,55 - 59 years,Female,11983.0
14,55 - 59 years,Male,16225.0
15,60 years and over,Both sexes,25131.0
16,60 years and over,Female,9781.0
17,60 years and over,Male,15350.0
18,Under 20 years,Both sexes,20025.0
19,Under 20 years,Female,10678.0
20,Under 20 years,Male,9348.0
