Statistic,Week,Age Group,Sex,UNIT,VALUE,first_Monday,first_Monday_date
Persons on the Live Register,2020W12,Under 20 years,Both sexes,Number,4689.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,Under 20 years,Male,Number,2604.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,Under 20 years,Female,Number,2085.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,20 - 24 years,Both sexes,Number,18133.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,20 - 24 years,Male,Number,10198.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,20 - 24 years,Female,Number,7935.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,25 - 34 years,Both sexes,Number,48500.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,25 - 34 years,Male,Number,28106.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,25 - 34 years,Female,Number,20394.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,35 - 44 years,Both sexes,Number,46402.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,35 - 44 years,Male,Number,25998.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,35 - 44 years,Female,Number,20404.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,45 - 54 years,Both sexes,Number,40050.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,45 - 54 years,Male,Number,21792.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,45 - 54 years,Female,Number,18258.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,55 - 59 years,Both sexes,Number,18562.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,55 - 59 years,Male,Number,9770.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,55 - 59 years,Female,Number,8792.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,60 years and over,Both sexes,Number,24266.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,60 years and over,Male,Number,12362.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,60 years and over,Female,Number,11904.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,All ages,Both sexes,Number,200602.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,All ages,Male,Number,110830.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W12,All ages,Female,Number,89772.0,2020W12-1,2020-03-23
Persons on the Live Register,2020W13,Under 20 years,Both sexes,Number,4722.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,Under 20 years,Male,Number,2632.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,Under 20 years,Female,Number,2090.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,20 - 24 years,Both sexes,Number,18675.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,20 - 24 years,Male,Number,10442.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,20 - 24 years,Female,Number,8233.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,25 - 34 years,Both sexes,Number,49917.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,25 - 34 years,Male,Number,28808.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,25 - 34 years,Female,Number,21109.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,35 - 44 years,Both sexes,Number,47834.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,35 - 44 years,Male,Number,26770.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,35 - 44 years,Female,Number,21064.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,45 - 54 years,Both sexes,Number,40899.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,45 - 54 years,Male,Number,22286.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,45 - 54 years,Female,Number,18613.0,2020W13-1,2020-03-30
Persons on the Live Register,2020W13,55 - 59 years,Both sexes,Number,18817.0,2020W13-1,2020-03-30
